Año_22,Año_23,Año_24,Año_25,Año_26
525907242.3449811,620872973.8123348,657983409.7215743,669878261.1679959,732775355.6027718
25253116504.030132,22180657976.883587,25824790366.913605,26950421668.538383,26178189633.205032
2412429593.2449408,1794076284.1719055,4335030061.89245,3959916147.779996,3197891460.2900267
682520819.4615045,664978447.4936092,832277492.8637377,1025962387.8618765,715462847.4138868
53563089.827615134,109283500.55081294,133802842.96465568,91168810.54925737,82914659.58002506
23353562.69610454,15362897.601034902,17674511.19592213,15711788.011256672,13542244.196245305
72141920.2304081,39283388.48161236,47175072.50883618,32468226.445574485,32144011.328476828
1886769511.7425866,3127157462.3623123,2165972447.551968,3092136549.252465,2843419243.273097
560005491.9703352,191307556.25532335,470775435.52478284,925793424.2320634,1063233459.5554838
80642678.4027358,110204323.88285513,121825497.5441808,193592780.3562942,158312611.38857993
329917619.642617,179026702.81972075,312173957.7816824,125910797.9011563,182123019.67663926
8085947454.288669,7430348691.371199,8599489833.390242,8137451688.230632,6527312524.547349
83619605.33325669,81774549.01034121,54775977.118388146,74570062.26155955,87441389.92021108
2614279567.7222095,2511081264.780996,2980555756.796451,2752876401.235456,3194011458.8261437
10352197.068833388,10817590.765158365,7098202.782291583,12356307.07018282,7664422.074624632
7163229368.533674,6727390269.451596,7731244959.630662,9153866618.864927,8757294277.773222
65656047346.90133,65164078080.38129,68294710055.5347,83019272335.27838,70914878514.04135
556934854.8018717,512448918.42463076,680616109.0241704,784633976.8585422,666625871.6751598
20817259.540933996,16381416.668302994,13762508.739869356,19283372.531832784,24678709.774137344
2227788375.3663316,2499484569.3308554,2571323171.6044016,3029499867.006195,2642521774.008089
327606756.91727084,253155477.85439494,336249362.9702387,562950905.3498459,477633388.8428645
3825469035.2086535,3879288937.3951287,3952104353.8886323,5296928730.301499,4601541692.7457905
2544400771.996925,2446370319.5193353,2263066821.4530706,2500141385.524866,2078564035.308887
361188583.5810944,296225495.8464193,223967312.21603063,494202923.5517503,334145239.29364246
45465539.45389006,38333564.958388716,44541753.566810004,41799972.891316146,38863701.23165052
520151830.6278472,269368980.75507873,316346194.2028109,528763944.55655336,550118688.7031513
521791328.43470097,324110581.16753244,387335352.0340869,527276728.22687405,422580599.1184939
-12231016.523165982,64034183.27328331,100145599.46789815,180855916.2270382,251906669.57637745
85348585.95374425,82805655.45759597,76834251.62962255,124611237.26462121,106627213.25653121
9465631188.83362,9741841538.651342,10634555352.69398,13300492200.498823,11508504460.847597
1009397573.2458589,818012557.3213718,1176896555.2701921,1495509677.4616487,1232179830.6919665
944594375.2966896,703336256.655395,927862476.6931058,1229620179.6279578,873767659.8613893
423939803.5148674,353076577.59175056,308760714.6852509,259619600.60433453,207688627.43650943
187312193.29434904,131138822.59500535,81277060.89727509,144804211.3417175,88908032.19966254
302760329.49359375,114546749.52823065,449458082.34512067,179516962.90782213,222875470.5369097
5134054444.945598,5672921553.8714695,6737189673.75257,7434853221.510766,6974787695.912822
26680839.126910925,-41049735.11099598,408141463.82933056,478349844.1420976,520340888.9799822
17805293.431259584,20182249.701633323,17701842.734801084,26338154.25166828,25870746.43711961
37787664.33762448,29190794.54182216,30569700.220180854,38610409.44212729,46401083.560361825
